Iteration, Program, Size, Current Time, Running Average
3, ./seq, 16384, 0.762766, .76048900000000000000
4, ./seq, 16384, 0.754461, .75898200000000000000
5, ./seq, 16384, 0.755949, .75837540000000000000
6, ./seq, 16384, 0.799155, .76517200000000000000
7, ./seq, 16384, 0.761033, .76458071428571428571
8, ./seq, 16384, 0.754367, .76330400000000000000
9, ./seq, 16384, 0.751340, .76197466666666666666
10, ./seq, 16384, 0.750469, .76082410000000000000
1, ./seq, 32768, 3.113525, 3.11352500000000000000
2, ./seq, 32768, 2.994091, 3.05380800000000000000
3, ./seq, 32768, 3.006622, 3.03807933333333333333
4, ./seq, 32768, 3.023085, 3.03433075000000000000
5, ./seq, 32768, 3.102288, 3.04792220000000000000
6, ./seq, 32768, 3.002703, 3.04038566666666666666
7, ./seq, 32768, 3.003693, 3.03514385714285714285
8, ./seq, 32768, 3.002718, 3.03109062500000000000
9, ./seq, 32768, 3.130810, 3.04217055555555555555
10, ./seq, 32768, 2.999207, 3.03787420000000000000
1, ./omp, 64, 0.000094, .00009400000000000000
2, ./omp, 64, 0.000092, .00009300000000000000
3, ./omp, 64, 0.000096, .00009400000000000000
4, ./omp, 64, 0.000103, .00009625000000000000
5, ./omp, 64, 0.001063, .00028960000000000000
6, ./omp, 64, 0.000121, .00026150000000000000
7, ./omp, 64, 0.000090, .00023700000000000000
8, ./omp, 64, 0.003619, .00065975000000000000
9, ./omp, 64, 0.000670, .00066088888888888888
10, ./omp, 64, 0.000089, .00060370000000000000
1, ./omp, 128, 0.000108, .00010800000000000000
2, ./omp, 128, 0.000112, .00011000000000000000
3, ./omp, 128, 0.000152, .00012400000000000000
4, ./omp, 128, 0.000110, .00012050000000000000
5, ./omp, 128, 0.000109, .00011820000000000000
6, ./omp, 128, 0.008894, .00158083333333333333
7, ./omp, 128, 0.000110, .00137071428571428571
8, ./omp, 128, 0.000108, .00121287500000000000
9, ./omp, 128, 0.000109, .00109022222222222222
10, ./omp, 128, 0.000136, .00099480000000000000
1, ./omp, 256, 0.001250, .00125000000000000000
2, ./omp, 256, 0.000181, .00071550000000000000
3, ./omp, 256, 0.000184, .00053833333333333333
